0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from [::1]:62461: remote error: tls: bad certificate
2021/08/08 18:43:54.905  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:43:54] "POST /v1/agent/register/ HTTP/1.1 200 95" 0.046664  Go-http-client/1.1
2021/08/08 18:43:54.922  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:43:54] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.062766  Go-http-client/1.1
2021/08/08 18:43:54.926  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:43:54] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.066706  Go-http-client/1.1
2021/08/08 18:44:04.851  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:04] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.000935  Go-http-client/1.1
2021/08/08 18:44:04.852  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:04] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001482  Go-http-client/1.1
2021/08/08 18:44:14.855  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:14] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.005751  Go-http-client/1.1
2021/08/08 18:44:14.855  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:14] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.006289  Go-http-client/1.1
2021/08/08 18:44:24.940  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:24] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.019867  Go-http-client/1.1
2021/08/08 18:44:24.961  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:24] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.039684  Go-http-client/1.1
2021/08/08 18:44:34.850  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:34] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001001  Go-http-client/1.1
2021/08/08 18:44:34.851  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:34] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.002005  Go-http-client/1.1
2021/08/08 18:44:44.861  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:44] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.009683  Go-http-client/1.1
2021/08/08 18:44:44.869  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:44] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.016818  Go-http-client/1.1
2021/08/08 18:44:54.856  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:54] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.003734  Go-http-client/1.1
2021/08/08 18:44:54.873  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:44:54] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.021771  Go-http-client/1.1
2021/08/08 18:45:04.891  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:45:04] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.014080  Go-http-client/1.1
2021/08/08 18:45:04.900  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:45:04] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.023460  Go-http-client/1.1
2021/08/08 18:45:14.857  [M] [router.go:1014]  ::1 - - [08/Aug/2021 06:45:14] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.004245  Go-http-client/1.1
