0001/01/01 00:00:00.000  [M] [log.go:191]  [HTTP] http: TLS handshake error from 127.0.0.1:56924: remote error: tls: unknown certificate
2021/08/15 10:50:14.796  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:50:14] "GET /prometheusagent/query HTTP/2.0 200 0" 0.022755  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 10:51:13.593  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001000  Go-http-client/1.1
2021/08/15 10:51:13.643  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:13] "POST /v1/agent/register/ HTTP/1.1 200 99" 0.050153  Go-http-client/1.1
2021/08/15 10:51:13.673  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.080606  Go-http-client/1.1
2021/08/15 10:51:17.973  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:17] "GET /prometheusagent/query HTTP/2.0 200 0" 0.016644  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 10:51:23.592  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.003227  Go-http-client/1.1
2021/08/15 10:51:23.662  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.073678  Go-http-client/1.1
2021/08/15 10:51:33.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001187  Go-http-client/1.1
2021/08/15 10:51:33.620  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.035171  Go-http-client/1.1
2021/08/15 10:51:43.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000000  Go-http-client/1.1
2021/08/15 10:51:43.622  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.037132  Go-http-client/1.1
2021/08/15 10:51:53.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000724  Go-http-client/1.1
2021/08/15 10:51:53.624  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:51:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.039973  Go-http-client/1.1
2021/08/15 10:52:03.046  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:03] "GET /prometheusagent/query HTTP/2.0 200 0" 0.012420  Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 10:52:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000610  Go-http-client/1.1
2021/08/15 10:52:03.654  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.067752  Go-http-client/1.1
2021/08/15 10:52:06.068  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:06] "GET /prometheusagent/query HTTP/2.0 200 0" 0.008856 https://localhost:8888/prometheusagent/query Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 10:52:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000522  Go-http-client/1.1
2021/08/15 10:52:13.623  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.037255  Go-http-client/1.1
2021/08/15 10:52:23.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000541  Go-http-client/1.1
2021/08/15 10:52:23.619  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.033425  Go-http-client/1.1
2021/08/15 10:52:33.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000517  Go-http-client/1.1
2021/08/15 10:52:33.616  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.030786  Go-http-client/1.1
2021/08/15 10:52:34.867  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:34] "GET /prometheusagent/modify?id=1 HTTP/2.0 200 0" 0.011701 https://localhost:8888/prometheusagent/query Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36
2021/08/15 10:52:43.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000531  Go-http-client/1.1
2021/08/15 10:52:43.610  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.024397  Go-http-client/1.1
2021/08/15 10:52:53.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000554  Go-http-client/1.1
2021/08/15 10:52:53.614  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:52:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.029800  Go-http-client/1.1
2021/08/15 10:53:03.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000538  Go-http-client/1.1
2021/08/15 10:53:03.618  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.034008  Go-http-client/1.1
2021/08/15 10:53:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000520  Go-http-client/1.1
2021/08/15 10:53:13.614  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.029054  Go-http-client/1.1
2021/08/15 10:53:23.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000530  Go-http-client/1.1
2021/08/15 10:53:23.626  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.041034  Go-http-client/1.1
2021/08/15 10:53:33.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000659  Go-http-client/1.1
2021/08/15 10:53:33.623  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.037981  Go-http-client/1.1
2021/08/15 10:53:43.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000593  Go-http-client/1.1
2021/08/15 10:53:43.660  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.074011  Go-http-client/1.1
2021/08/15 10:53:53.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000526  Go-http-client/1.1
2021/08/15 10:53:53.615  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:53:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.028727  Go-http-client/1.1
2021/08/15 10:54:03.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001065  Go-http-client/1.1
2021/08/15 10:54:03.617  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.032302  Go-http-client/1.1
2021/08/15 10:54:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000529  Go-http-client/1.1
2021/08/15 10:54:13.612  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.026687  Go-http-client/1.1
2021/08/15 10:54:23.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:23] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000543  Go-http-client/1.1
2021/08/15 10:54:23.617  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:23] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.031791  Go-http-client/1.1
2021/08/15 10:54:33.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:33] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.001113  Go-http-client/1.1
2021/08/15 10:54:33.612  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:33] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.027873  Go-http-client/1.1
2021/08/15 10:54:43.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:43] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000521  Go-http-client/1.1
2021/08/15 10:54:43.661  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:43] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.075834  Go-http-client/1.1
2021/08/15 10:54:53.585  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:53] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000541  Go-http-client/1.1
2021/08/15 10:54:53.620  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:54:53] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.035735  Go-http-client/1.1
2021/08/15 10:55:03.587  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:55:03] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000559  Go-http-client/1.1
2021/08/15 10:55:03.651  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:55:03] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.065435  Go-http-client/1.1
2021/08/15 10:55:13.586  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:55:13] "GET /v1/agent/config/?uuid=54c5b5660d8d4962b86315575d42e5bb&version= HTTP/1.1 200 0" 0.000670  Go-http-client/1.1
2021/08/15 10:55:13.620  [M] [router.go:1014]  ::1 - - [15/Aug/2021 10:55:13] "POST /v1/agent/heartbeat/ HTTP/1.1 200 60" 0.034882  Go-http-client/1.1
